NUTS_ID;STAT;NAME;AI_2012;AI_2016;QoL;GEO_oblast
ES42;ES;Castilla-la Mancha;126,118776;102,1867726;medium;high
ES43;ES;Extremadura;135,4726877;127,1526926;low;high
ES51;ES;Cataluña;103,3031393;99,26220482;high;high
ES52;ES;Comunidad Valenciana;128,1509397;105,2006719;medium;high
ES53;ES;Illes Balears;94,97527919;76,4339104;medium;high
ES61;ES;Andalucía;88,19084934;80,97932109;low;high
ES62;ES;Región de Murcia;80,41190778;48,46184511;medium;high
FI19;FI;Länsi-Suomi;120,7351735;141,9292446;high;low
FI1B;FI;Helsinki-Uusimaa;86,08740005;98,89040444;high;low
FI1C;FI;Etelä-Suomi;131,9460321;156,5425219;high;low
FI1D;FI;Pohjois- ja Itä-Suomi;110,4429523;136,4712254;high;low
FI20;FI;Åland;113,5080316;139,6538994;high;medium
FR10;FR;Île de France;71,89876431;47,59919813;high;high
FR21;FR;Champagne-Ardenne (NUTS 2013);98,29218586;121,1122425;medium;medium
FR22;FR;Picardie (NUTS 2013);72,59359978;95,706733;low;medium
FR23;FR;Haute-Normandie (NUTS 2013);84,45874065;103,2448903;medium;medium
FR24;FR;Centre (FR) (NUTS 2013);111,9919052;98,11251525;medium;high
FR25;FR;Basse-Normandie (NUTS 2013);119,428552;136,5413588;medium;medium
FR26;FR;Bourgogne (NUTS 2013);140,8840443;118,2968929;medium;high
FR30;FR;Nord - Pas-de-Calais (NUTS 2013);56,87059622;86,74249711;low;medium
FR41;FR;Lorraine (NUTS 2013);101,2086073;121,8011655;medium;medium
FR42;FR;Alsace (NUTS 2013);89,55449467;105,9286994;medium;medium
FR43;FR;Franche-Comté (NUTS 2013);97,26896393;85,54002892;medium;high
FR51;FR;Pays de la Loire (NUTS 2013);92,52400188;74,92580042;medium;high
FR52;FR;Bretagne (NUTS 2013);108,2471049;125,9161024;medium;medium
FR53;FR;Poitou-Charentes (NUTS 2013);142,1743224;121,1518827;medium;high
FR61;FR;Aquitaine (NUTS 2013);121,2655663;110,8169645;high;high
FR62;FR;Midi-Pyrénées (NUTS 2013);110,7433331;104,1272676;high;high
FR63;FR;Limousin (NUTS 2013);151,9141048;139,5788658;medium;high
FR71;FR;Rhône-Alpes (NUTS 2013);88,74777272;64,75382568;high;high
FR72;FR;Auvergne (NUTS 2013);130,8289202;123,6927637;high;high
FR81;FR;Languedoc-Roussillon (NUTS 2013);119,027556;109,9312643;high;high
FR82;FR;Provence-Alpes-Côte d'Azur (NUTS 2013);119,2633364;109,5864309;high;high
FR83;FR;Corse (NUTS 2013);146,1019069;126,12938;medium;high
HR03;HR;Jadranska Hrvatska;133,1095246;128,0736194;low;high
HR04;HR;Kontinentalna Hrvatska;119,9402015;105,8227024;low;high
HU10;HU;Közép-Magyarország (NUTS 2013);122,7159018;106,0336149;low;high
HU21;HU;Közép-Dunántúl;120,1782342;106,6362311;low;high
HU22;HU;Nyugat-Dunántúl;127,9742273;115,670149;low;high
HU23;HU;Dél-Dunántúl;128,2628416;120,9640731;low;high
HU31;HU;Észak-Magyarország;118,3481427;103,1008507;low;high
HU32;HU;Észak-Alföld;97,29623472;86,29858861;low;high
HU33;HU;Dél-Alföld;134,1489616;124,4520734;low;high
CH01;CH;Région lémanique;98,53039962;121,5844293;high;medium
CH02;CH;Espace Mittelland;122,736662;140,5604194;high;medium
CH03;CH;Nordwestschweiz;123,9256969;142,6355364;high;medium
CH04;CH;Zürich;104,9270595;124,9320679;high;medium
CH05;CH;Ostschweiz;106,7967268;136,5790122;high;medium
CH06;CH;Zentralschweiz;99,17789348;124,8055868;high;medium
CH07;CH;Ticino;174,5488837;142,0259317;high;high
IE01;IE;Border, Midland and Western (NUTS 2013);71,90853288;61,80904959;medium;low
IE02;IE;Southern and Eastern (NUTS 2013);61,66164646;57,64815396;high;low
IS00;IS;Ísland;62,10408343;66,82302546;high;low
ITC1;IT;Piemonte;222,8497293;163,9213022;low;high
ITC2;IT;Valle d'Aosta/Vallée d'Aoste;146,1278709;151,6877945;low;high
ITC3;IT;Liguria;190,2602335;242,7305877;medium;high
ITC4;IT;Lombardia;142,4437882;137,0260497;low;high
ITF1;IT;Abruzzo;162,2867715;154,1737789;low;high
ITF2;IT;Molise;169,9004162;173,6507275;low;high
ITF3;IT;Campania;108,7802031;96,0883542;low;high
ITF4;IT;Puglia;135,3265093;133,4573211;low;high
ITF5;IT;Basilicata;158,871511;152,8741263;low;high
ITF6;IT;Calabria;136,7887976;133,5234675;low;high
ITG1;IT;Sicilia;129,0896685;122,8878456;low;high
ITG2;IT;Sardegna;161,2474421;159,4277682;low;high
ITH1;IT;Provincia Autonoma di Bolzano/Bozen;105,6797984;100,6423733;high;high
ITH2;IT;Provincia Autonoma di Trento;130,9884589;122,9999437;high;high
ITH3;IT;Veneto;141,573671;138,7749661;low;high
ITH4;IT;Friuli-Venezia Giulia;176,9426079;203,6745185;medium;high
ITH5;IT;Emilia-Romagna;163,176272;153,6942265;medium;high
ITI1;IT;Toscana;172,4302487;173,3793054;medium;high
ITI2;IT;Umbria;166,6524534;162,873382;medium;high
ITI3;IT;Marche;163,2719251;158,8867185;medium;high
ITI4;IT;Lazio;150,9057163;133,5420335;medium;high
LT00;LT;Lietuva (NUTS 2013);126,4425051;141,8216066;low;low
LU00;LU;Luxembourg;83,63177812;89,56073973;high;low
LV00;LV;Latvija;135,0178709;142,6404068;low;low
MT00;MT;Malta;122,3862361;115,1967312;medium;high
NL11;NL;Groningen;112,4624355;131,2285326;medium;low
NL12;NL;Friesland (NL);105,0918164;121,1188577;low;low
NL13;NL;Drenthe;118,8749997;139,0018209;medium;low
NL21;NL;Overijssel;87,23361876;102,7610606;medium;low
NL22;NL;Gelderland;95,8033537;122,6227633;medium;medium
NL23;NL;Flevoland;69,75585637;66,48658602;medium;medium
NL31;NL;Utrecht;79,71556985;92,33766751;high;medium
NL32;NL;Noord-Holland;89,04861004;115,9752053;high;medium
NL33;NL;Zuid-Holland;92,4953592;111,1702642;medium;medium
NL34;NL;Zeeland;122,5370686;144,4711585;low;medium
NL41;NL;Noord-Brabant;103,3442056;126,0394063;medium;medium
NL42;NL;Limburg (NL);144,3035335;161,7359961;medium;medium
NO01;NO;Oslo og Akershus;75,60846688;82,18786062;high;low
NO02;NO;Hedmark og Oppland;112,6099061;138,4578257;high;low
NO03;NO;Sør-Østlandet;93,06119515;110,6651967;high;low
NO04;NO;Agder og Rogaland;73,32615145;69,97370731;high;low
NO05;NO;Vestlandet;83,87288328;95,86929585;high;low
NO06;NO;Trøndelag;85,13911716;96,23811942;high;low
NO07;NO;Nord-Norge;92,81650629;111,5637234;high;low
PL11;PL;Lódzkie (NUTS 2013);119,629613;137,7931689;low;medium
PL12;PL;Mazowieckie (NUTS 2013);95,29429025;117,8576398;low;medium
PL21;PL;Malopolskie;83,61779199;104,0988215;low;medium
PL22;PL;Slaskie;112,5442743;126,6786661;low;medium
PL31;PL;Lubelskie (NUTS 2013);98,29909467;121,6303116;low;medium
PL32;PL;Podkarpackie (NUTS 2013);83,2465235;105,2776382;low;medium
PL33;PL;Swietokrzyskie (NUTS 2013);113,2177953;135,9621386;low;medium
PL34;PL;Podlaskie (NUTS 2013);105,9893897;124,1954034;low;medium
PL41;PL;Wielkopolskie;70,12417932;101,7174461;low;medium
