kod;nazev;statuskod;okres;pou;clenenismrozsahkod;clenenismtypkod;nutslau;datumvzniku;vusc;orp;Poc_obyv_SLDB_2021;poc_muzu;poc_zen;poc_obyv_0_14;poc_obyv_15_64;poc_obyv_nad_65;prum_vek;prum_vek_muzi;prum_vek_zeny;stav_nezjisteno;reg_partnerstvi;reg_part_zanikle;reg_part_zanikle_umrtim;rozvedeni;svobodni;ovdoveli;zenati_vdane;bez_vzdelani;vzdelani_nezjisteno;zakladni_vzdelani;stredni_vzdelani;stredni_vzd_s_maturitou;vyssi_odborne_vzd;vysokoskolske_vzd;ceska_narodnost;moravska_narodnost;slezska_narodnost;slovenska_narodnost;ukrajinska_narodnost;vietnamska_narodnost;ostatni_narodnost;bez_nabozenske_viry;cirkev_ceskoslovenska_husitska;cirkev_rimskokatolicka;ceskobratrska_cirkev_evangelick;katolicka_vira;krestanstvi;svedkove_jehovovi;vira_neuvedena;verici_hlasici_se_k_cirkvi;verici_nehlasici_se_k_cirkvi;pravoslavna_cirkev;protestantska_evangelicka_vira;ostatni_vira;celkem_domu;vlastnik_domu_byt_druzstvo;vlastnik_domu_fyz_os;vlastnik_domu_prav_osoba_jina;vlastnik_domu_kombinace;vlastnik_domu_nezjisteno;vlastnik_domu_obec_stat;spoluvlastnictvi_bytu;vystavba_pred1919;vystavba_1920_1945;vystavba_1946_1970;vystavba_1971_1980;vystavba_1981_1990;vystavba_1991_2000;vystavba_2001_2010;vystavba_2011_2015;vystavba_po2016;vystavba_nezjisteno;shape_Length;shape_Area
525227;Bílá Voda;2;3811;3921;;;CZ0711525227;1. 1. 1869 0:00:00;124;2062;370,;190,;180,;82,;227,;61,;37,4;38,4;36,3;8,;0,;0,;0,;41,;198,;16,;107,;4,;63,;64,;90,;52,;0,;15,;145,;10,;2,;12,;0,;0,;29,;79,;0,;36,;0,;8,;1,;0,;214,;1,;31,;0,;0,;0,;78,;0,;62,;7,;0,;0,;8,;1,;17,;6,;9,;7,;9,;2,;4,;1,;0,;23,;22687,705152699640166;14988098,279450882226229
525880;Bohuslavice;2;3809;3859;;;CZ0715525880;;124;2011;491,;248,;243,;93,;300,;98,;40,8;38,3;43,2;2,;0,;0,;0,;50,;217,;38,;184,;4,;15,;54,;149,;112,;6,;58,;250,;69,;0,;2,;0,;0,;2,;219,;8,;67,;0,;8,;3,;0,;139,;2,;42,;0,;0,;2,;167,;0,;164,;1,;0,;1,;1,;0,;16,;13,;22,;33,;15,;20,;20,;15,;8,;5,;14304,845888205931260;3966035,880499611608684
525588;Bludov;2;3809;3867;;;CZ0715525588;;124;2020;2946,;1461,;1485,;472,;1778,;696,;44,1;42,7;45,4;5,;1,;0,;0,;266,;1162,;224,;1288,;13,;105,;302,;944,;775,;38,;297,;1614,;604,;2,;19,;1,;6,;29,;1365,;8,;364,;2,;53,;11,;0,;841,;17,;261,;1,;7,;16,;911,;1,;859,;11,;0,;10,;10,;20,;66,;101,;207,;174,;116,;68,;78,;18,;25,;58,;21683,693425970661337;16682896,491899942979217
525804;Bohdíkov;2;3809;3867;;;CZ0715525804;;124;2020;1222,;623,;599,;187,;754,;281,;43,7;42,6;44,9;2,;0,;0,;0,;95,;510,;86,;529,;4,;38,;152,;441,;301,;12,;87,;676,;187,;0,;9,;1,;0,;8,;577,;2,;123,;1,;15,;11,;0,;374,;6,;111,;0,;0,;2,;469,;0,;447,;6,;1,;1,;5,;9,;64,;68,;78,;78,;34,;38,;34,;13,;7,;55,;32527,488657778118068;26212273,480149660259485
526169;Branná;2;3809;3832;;;CZ0715526169;;124;2020;272,;140,;132,;44,;175,;53,;41,9;42,2;41,5;2,;0,;0,;0,;34,;113,;22,;101,;2,;14,;47,;80,;52,;6,;27,;172,;29,;1,;2,;3,;0,;14,;144,;0,;18,;0,;2,;0,;0,;82,;1,;22,;2,;1,;0,;116,;0,;96,;5,;1,;2,;7,;5,;17,;31,;7,;5,;4,;6,;6,;5,;9,;26,;21208,702126837073592;14558685,366001341491938
530727;Brníčko;2;3809;3859;;;CZ0715530727;;124;2011;641,;332,;309,;115,;391,;135,;42,;41,2;42,7;0,;2,;0,;0,;61,;264,;41,;273,;1,;26,;69,;234,;137,;9,;50,;340,;109,;1,;5,;0,;0,;15,;324,;1,;64,;0,;7,;3,;0,;165,;2,;68,;0,;0,;7,;243,;0,;236,;1,;0,;0,;1,;5,;29,;21,;51,;34,;17,;16,;23,;6,;11,;35,;22728,655245095258579;8481234,095347957685590
532894;Bušín;2;3809;3867;;;CZ0715532894;;124;2020;360,;192,;168,;47,;231,;82,;46,4;46,;46,9;0,;0,;0,;0,;28,;139,;20,;173,;1,;7,;45,;121,;100,;3,;36,;226,;60,;0,;0,;0,;0,;0,;137,;0,;72,;0,;4,;2,;0,;104,;7,;29,;0,;0,;5,;163,;0,;159,;0,;0,;0,;3,;1,;11,;14,;32,;26,;19,;12,;10,;1,;1,;37,;19075,107525136965705;8607511,558500591665506
589543;Hrubčice;2;3709;3140;;;CZ0713589543;;124;1562;781,;395,;386,;149,;472,;160,;41,1;39,3;42,9;2,;0,;0,;0,;48,;323,;56,;352,;1,;48,;80,;241,;174,;14,;74,;407,;127,;0,;14,;0,;0,;21,;311,;0,;71,;0,;30,;4,;0,;266,;7,;89,;0,;0,;3,;304,;0,;297,;2,;0,;0,;2,;3,;28,;41,;69,;55,;26,;25,;20,;4,;19,;17,;14107,017491886808784;8332143,154451896436512
533491;Černá Voda;2;3811;3921;;;CZ0711533491;;124;2062;516,;263,;253,;85,;312,;119,;43,5;40,9;46,2;0,;0,;0,;0,;47,;219,;42,;208,;0,;17,;59,;171,;134,;4,;46,;292,;40,;12,;11,;0,;0,;7,;242,;2,;22,;0,;13,;3,;3,;158,;1,;69,;2,;1,;0,;269,;2,;255,;5,;0,;1,;4,;2,;26,;82,;12,;26,;18,;23,;14,;3,;13,;52,;18459,881975602424063;9974481,108899882063270
589578;Ivaň;2;3709;3140;;;CZ0713589578;;124;1562;427,;221,;206,;70,;259,;98,;43,7;42,1;45,4;0,;0,;0,;0,;55,;173,;41,;158,;3,;18,;56,;157,;90,;3,;30,;247,;46,;0,;5,;0,;8,;10,;202,;0,;54,;0,;11,;1,;0,;120,;0,;35,;1,;0,;3,;197,;0,;195,;0,;0,;1,;1,;0,;29,;24,;54,;23,;23,;11,;9,;2,;4,;18,;12750,014102447328696;7303524,188750416040421
533688;Dlouhomilov;2;3809;3867;;;CZ0715533688;;124;2020;458,;227,;231,;70,;263,;125,;45,3;44,3;46,3;1,;0,;0,;0,;42,;170,;29,;216,;4,;19,;63,;162,;106,;3,;31,;227,;105,;0,;2,;0,;0,;6,;190,;3,;51,;0,;6,;0,;0,;160,;2,;40,;2,;0,;4,;194,;0,;190,;4,;0,;0,;0,;0,;34,;20,;41,;23,;17,;10,;13,;3,;2,;31,;21805,245778397609683;10444622,300700057297945
589616;Klopotovice;2;3709;3140;;;CZ0713589616;;124;1562;280,;153,;127,;46,;181,;53,;41,6;39,9;43,7;0,;0,;0,;0,;23,;123,;14,;120,;1,;9,;33,;105,;53,;9,;24,;159,;23,;0,;5,;0,;0,;3,;113,;1,;23,;0,;3,;6,;0,;98,;1,;34,;0,;0,;1,;101,;0,;100,;0,;0,;0,;0,;1,;15,;10,;16,;7,;16,;14,;6,;0,;10,;7,;11153,201837099792101;5328788,324998779222369
589624;Konice;3;3709;3123;;;CZ0713589624;;124;1554;2605,;1278,;1327,;373,;1604,;628,;44,8;43,6;45,9;6,;0,;0,;0,;253,;1046,;198,;1102,;11,;122,;302,;877,;653,;26,;241,;1514,;397,;0,;30,;4,;0,;30,;933,;8,;416,;3,;79,;19,;2,;820,;20,;283,;3,;1,;15,;1049,;0,;985,;16,;2,;1,;7,;38,;102,;110,;161,;149,;120,;88,;72,;27,;34,;186,;44568,166518652862578;24438917,486998457461596
534927;Dubicko;2;3809;3859;;;CZ0715534927;;124;2011;1076,;507,;569,;206,;671,;199,;40,8;40,;41,5;3,;0,;0,;0,;80,;453,;85,;455,;1,;42,;122,;319,;268,;10,;108,;579,;203,;1,;4,;0,;0,;10,;450,;37,;127,;1,;17,;3,;0,;336,;10,;89,;3,;2,;1,;353,;0,;337,;10,;0,;1,;4,;1,;29,;26,;60,;88,;35,;27,;28,;8,;31,;21,;15418,079876596288159;7834358,016699217259884
535532;Hanušovice;3;3809;3832;;;CZ0715535532;;124;2020;2819,;1388,;1431,;408,;1776,;635,;44,7;42,7;46,7;4,;2,;1,;0,;393,;1183,;219,;1017,;27,;215,;454,;969,;575,;20,;151,;1430,;320,;0,;52,;3,;9,;51,;1334,;4,;148,;8,;58,;14,;2,;965,;14,;246,;4,;5,;17,;564,;2,;403,;13,;2,;7,;27,;110,;70,;142,;52,;88,;43,;53,;46,;18,;16,;36,;44771,482423638779437;36813777,589703358709812
535770;Horní Studénky;2;3809;3859;;;CZ0715535770;24. 11. 1990 0:00:00;124;2011;342,;178,;164,;54,;207,;81,;44,5;43,8;45,2;1,;0,;0,;0,;12,;136,;23,;170,;1,;9,;52,;123,;72,;4,;27,;181,;64,;1,;10,;1,;0,;2,;99,;1,;83,;1,;9,;4,;0,;120,;4,;19,;1,;0,;1,;153,;1,;145,;3,;0,;1,;2,;1,;12,;19,;13,;26,;10,;8,;7,;5,;5,;48,;14702,606805479925242;7254670,961850029416382
535885;Hoštejn;2;3809;3859;;;CZ0715535885;;124;2011;413,;199,;214,;79,;254,;80,;40,9;41,6;40,3;1,;0,;0,;0,;34,;180,;22,;176,;3,;21,;50,;113,;111,;7,;29,;250,;58,;1,;2,;0,;0,;4,;168,;4,;67,;1,;15,;2,;2,;124,;2,;24,;0,;2,;2,;117,;1,;107,;0,;0,;0,;5,;4,;6,;19,;11,;27,;21,;10,;6,;2,;3,;12,;9959,614008905284209;1823286,294800453120843
540005;Lipinka;2;3805;3719;;;CZ0712540005;;124;1902;184,;93,;91,;28,;116,;40,;42,7;43,2;42,3;0,;0,;0,;0,;14,;82,;15,;73,;3,;20,;19,;63,;35,;1,;15,;79,;50,;0,;1,;1,;0,;7,;70,;0,;21,;0,;2,;1,;0,;62,;0,;27,;0,;1,;0,;90,;0,;87,;1,;0,;1,;1,;0,;10,;13,;16,;12,;7,;6,;6,;0,;4,;16,;8790,671701363547982;2497461,892499510664493
536091;Hrabišín;2;3809;3867;;;CZ0715536091;;124;2020;765,;399,;366,;108,;500,;157,;42,7;41,6;44,;0,;0,;0,;0,;88,;322,;57,;298,;4,;28,;120,;263,;196,;2,;44,;408,;102,;0,;2,;1,;0,;8,;393,;0,;50,;0,;9,;8,;1,;218,;2,;71,;2,;2,;9,;287,;2,;274,;0,;0,;3,;1,;7,;46,;36,;33,;55,;30,;24,;20,;9,;10,;24,;17972,745824572193669;13847659,938799701631069
536113;Hynčina;2;3809;3859;;;CZ0715536113;;124;2011;179,;101,;78,;14,;114,;51,;47,5;47,4;47,6;0,;0,;0,;0,;30,;73,;15,;61,;2,;14,;44,;69,;26,;1,;9,;68,;25,;0,;4,;0,;0,;0,;80,;0,;10,;0,;3,;1,;0,;66,;0,;18,;0,;0,;1,;126,;0,;120,;5,;0,;0,;1,;0,;20,;19,;8,;12,;5,;10,;8,;2,;2,;40,;33363,697995908907615;25458478,468750290572643
536148;Javorník;3;3811;3921;;;CZ0711536148;;124;2062;2494,;1212,;1282,;373,;1491,;630,;45,6;43,8;47,3;11,;1,;0,;0,;357,;1057,;225,;843,;24,;143,;391,;850,;530,;17,;166,;1506,;107,;33,;69,;1,;9,;79,;1188,;2,;166,;12,;81,;14,;0,;743,;14,;253,;4,;8,;9,;737,;1,;644,;31,;1,;2,;22,;36,;126,;138,;72,;86,;60,;69,;66,;17,;17,;86,;50038,920827637950424;77488923,154549419879913
536288;Jedlí;2;3809;3859;;;CZ0715536288;;124;2011;665,;323,;342,;99,;388,;178,;47,4;44,2;50,3;4,;0,;0,;0,;41,;244,;76,;300,;2,;22,;89,;260,;129,;9,;55,;364,;94,;0,;3,;0,;0,;3,;181,;0,;127,;1,;29,;7,;0,;235,;8,;75,;0,;0,;2,;249,;1,;232,;9,;0,;0,;2,;5,;27,;10,;49,;48,;24,;13,;20,;4,;5,;49,;17017,915216156452516;9936130,010149683803320
536385;Jeseník;3;3811;3930;;;CZ0711536385;;124;2062;10543,;5054,;5489,;1465,;6383,;2695,;45,6;43,8;47,3;29,;0,;0,;0,;1572,;4407,;873,;3662,;104,;567,;1204,;2982,;2739,;107,;1375,;6420,;595,;174,;218,;24,;29,;276,;5505,;7,;496,;25,;201,;49,;18,;3045,;47,;979,;17,;30,;123,;1616,;41,;1168,;93,;9,;3,;32,;270,;171,;323,;150,;357,;145,;137,;141,;51,;53,;88,;35583,900890134238580;38232700,280101664364338
536393;Jestřebí;2;3809;3859;;;CZ0715536393;;124;2011;669,;337,;332,;129,;425,;115,;40,4;39,7;41,1;0,;0,;0,;0,;54,;282,;43,;290,;1,;10,;72,;221,;157,;14,;65,;422,;72,;0,;2,;0,;0,;3,;301,;6,;94,;0,;6,;2,;0,;203,;4,;51,;0,;1,;1,;248,;0,;242,;1,;0,;1,;3,;1,;21,;22,;52,;30,;9,;17,;32,;11,;25,;29,;20858,100795573642245;8695899,221948927268386
536521;Jindřichov;2;3809;3832;;;CZ0715536521;1. 1. 1950 0:00:00;124;2020;1044,;539,;505,;149,;665,;230,;44,7;43,6;46,;0,;0,;0,;0,;137,;450,;85,;372,;13,;85,;189,;350,;203,;13,;42,;527,;110,;0,;19,;0,;6,;14,;505,;1,;59,;0,;23,;9,;3,;358,;8,;71,;0,;1,;6,;342,;0,;304,;10,;0,;4,;7,;17,;37,;74,;46,;26,;18,;21,;17,;11,;16,;76,;55842,754918677128444;51721711,483150303363800
536571;Kamenná;2;3809;3859;;;CZ0715536571;;124;2011;480,;244,;236,;73,;275,;132,;46,1;44,9;47,3;2,;0,;0,;0,;69,;181,;35,;193,;5,;28,;79,;183,;87,;5,;20,;260,;98,;2,;1,;1,;0,;4,;223,;2,;52,;2,;1,;2,;1,;146,;0,;47,;1,;0,;3,;111,;0,;96,;3,;0,;1,;4,;7,;20,;16,;20,;18,;12,;7,;4,;2,;4,;8,;11818,235655637672608;5122102,138951793313026
536687;Klopina;2;3809;3841;;;CZ0715536687;;124;2003;582,;283,;299,;95,;379,;108,;42,8;42,6;42,9;0,;0,;0,;0,;45,;236,;38,;263,;3,;26,;58,;208,;132,;6,;54,;283,;120,;1,;4,;3,;0,;4,;296,;0,;29,;4,;6,;2,;0,;178,;3,;55,;1,;0,;8,;219,;0,;208,;4,;0,;1,;0,;6,;36,;18,;33,;20,;19,;20,;34,;7,;6,;26,;23273,104731366514898;12930032,660449225455523
536733;Kolšov;2;3809;3859;;;CZ0715536733;;124;2011;666,;348,;318,;110,;409,;147,;43,6;41,8;45,5;0,;0,;0,;0,;58,;250,;49,;309,;3,;27,;79,;246,;147,;4,;50,;365,;113,;0,;7,;0,;0,;1,;325,;0,;46,;2,;16,;9,;0,;199,;2,;64,;0,;2,;1,;231,;0,;222,;2,;1,;3,;3,;0,;9,;27,;54,;48,;38,;9,;24,;4,;6,;12,;11707,129564242593915;3762615,642900492064655
536814;Kosov;2;3809;3859;;;CZ0715536814;;124;2011;299,;150,;149,;50,;200,;49,;39,9;38,2;41,6;0,;0,;0,;0,;20,;133,;23,;123,;1,;5,;41,;92,;80,;0,;30,;173,;31,;0,;2,;0,;0,;1,;122,;0,;32,;0,;21,;3,;0,;95,;9,;15,;0,;0,;2,;120,;1,;116,;0,;0,;0,;2,;1,;11,;11,;14,;17,;14,;8,;14,;2,;4,;25,;16266,725588631525170;5462725,227649777196348
537284;Lesnice;2;3809;3859;;;CZ0715537284;;124;2011;615,;317,;298,;105,;385,;125,;43,2;42,1;44,4;0,;0,;0,;0,;47,;251,;37,;280,;2,;19,;64,;223,;136,;4,;62,;330,;144,;2,;7,;1,;0,;9,;274,;1,;79,;3,;8,;4,;0,;177,;10,;43,;1,;0,;15,;203,;0,;198,;1,;0,;2,;2,;0,;21,;15,;36,;37,;31,;9,;32,;3,;5,;14,;20846,955688974161603;7322552,415299081243575
537713;Leština;2;3809;3859;;;CZ0715537713;;124;2011;1221,;609,;612,;219,;753,;249,;42,5;40,4;44,6;2,;0,;0,;0,;83,;495,;92,;549,;2,;40,;112,;411,;313,;15,;109,;689,;223,;0,;2,;0,;0,;11,;561,;0,;120,;1,;22,;5,;0,;386,;10,;108,;1,;1,;6,;380,;0,;367,;2,;1,;1,;7,;2,;14,;21,;100,;74,;42,;43,;18,;27,;23,;18,;13834,486748750377956;5251760,687150374054909
539961;Libina;2;3809;3867;;;CZ0715539961;;124;2020;3150,;1609,;1541,;473,;1943,;734,;43,9;41,5;46,3;8,;0,;1,;0,;292,;1330,;256,;1263,;15,;163,;423,;1130,;708,;41,;197,;1576,;465,;2,;15,;4,;23,;23,;1593,;4,;196,;3,;36,;10,;0,;994,;12,;272,;16,;2,;10,;985,;1,;928,;1,;5,;3,;15,;32,;168,;183,;97,;139,;93,;62,;81,;21,;43,;98,;30197,259601187313820;27262114,099699843674898
540030;Lipová-lázně;2;3811;3930;;;CZ0711540030;;124;2062;1968,;968,;1000,;262,;1213,;493,;46,;44,6;47,3;8,;0,;0,;0,;272,;737,;159,;792,;14,;90,;218,;676,;483,;20,;205,;1172,;132,;40,;33,;0,;0,;40,;1019,;1,;89,;2,;36,;3,;2,;616,;10,;172,;7,;0,;11,;676,;1,;583,;34,;2,;5,;19,;32,;78,;140,;25,;117,;72,;64,;74,;20,;15,;71,;36382,230232284833619;44371809,821152158081532
540196;Loštice;3;3809;3841;;;CZ0715540196;;124;2003;2858,;1416,;1442,;406,;1745,;707,;45,1;42,7;47,4;8,;0,;0,;0,;353,;1100,;271,;1126,;19,;96,;333,;925,;756,;31,;292,;1674,;494,;0,;17,;11,;5,;33,;1438,;46,;270,;13,;46,;12,;0,;731,;24,;249,;4,;0,;23,;832,;1,;768,;16,;1,;9,;9,;28,;130,;97,;140,;134,;91,;62,;75,;40,;20,;43,;19516,933263086062652;11999436,844950443133712
540161;Líšnice;2;3809;3841;;;CZ0715540161;24. 11. 1990 0:00:00;124;2003;380,;194,;186,;78,;237,;65,;40,6;38,7;42,7;3,;0,;0,;0,;35,;149,;24,;169,;5,;15,;42,;113,;85,;4,;38,;190,;62,;0,;1,;0,;0,;4,;166,;1,;26,;0,;10,;1,;1,;140,;2,;32,;0,;0,;1,;143,;0,;136,;1,;0,;3,;3,;0,;27,;12,;14,;15,;4,;9,;23,;11,;20,;8,;23510,083493260626710;9698157,492101117968559
540226;Loučná nad Desnou;2;3809;3867;;;CZ0715540226;;124;2020;1400,;701,;699,;165,;801,;434,;48,5;46,9;50,1;6,;0,;0,;0,;214,;514,;133,;533,;15,;77,;176,;514,;331,;7,;115,;792,;169,;0,;11,;1,;0,;24,;639,;1,;128,;1,;36,;5,;1,;461,;5,;113,;4,;1,;3,;502,;0,;419,;26,;1,;8,;9,;39,;63,;67,;39,;66,;47,;35,;58,;27,;29,;71,;57941,170726824384474;94329571,303949683904648
540234;Lukavice;2;3809;3859;;;CZ0715540234;;124;2011;810,;417,;393,;120,;528,;162,;43,3;41,4;45,3;2,;0,;0,;0,;98,;346,;49,;315,;2,;54,;116,;283,;177,;8,;50,;397,;132,;0,;5,;0,;0,;9,;367,;5,;62,;1,;17,;0,;0,;277,;3,;70,;2,;0,;6,;216,;2,;190,;2,;1,;1,;5,;15,;19,;15,;46,;41,;29,;22,;9,;7,;9,;19,;22947,749182025479968;11212566,989150987938046
540331;Malá Morava;2;3809;3832;;;CZ0715540331;;124;2020;515,;263,;252,;83,;306,;126,;43,9;44,;43,8;0,;0,;0,;0,;73,;242,;39,;161,;9,;49,;109,;148,;71,;5,;41,;276,;79,;0,;12,;0,;0,;6,;219,;5,;27,;1,;21,;3,;0,;160,;3,;73,;0,;0,;3,;216,;0,;187,;6,;0,;5,;18,;0,;47,;23,;24,;12,;8,;14,;11,;7,;10,;60,;51142,750191069448192;68293429,407097667455673
540366;Maletín;2;3809;3841;;;CZ0715540366;1. 1. 1950 0:00:00;124;2003;392,;214,;178,;82,;247,;63,;40,1;39,5;40,7;1,;0,;0,;0,;64,;170,;20,;137,;2,;25,;48,;156,;51,;1,;27,;225,;43,;1,;3,;2,;0,;2,;198,;0,;14,;1,;7,;2,;0,;131,;3,;30,;0,;0,;6,;113,;0,;99,;3,;0,;0,;3,;8,;16,;7,;9,;7,;28,;9,;11,;3,;12,;11,;26847,277687140744092;18540807,172649655491114
540382;Mikulovice;2;3811;3948;;;CZ0711540382;;124;2062;2378,;1188,;1190,;342,;1478,;558,;44,6;43,;46,1;6,;0,;0,;0,;290,;961,;216,;905,;14,;133,;329,;846,;550,;15,;149,;1390,;127,;63,;77,;2,;6,;46,;1168,;4,;138,;8,;57,;9,;15,;732,;14,;207,;2,;4,;20,;698,;1,;627,;18,;5,;4,;6,;37,;97,;158,;77,;93,;53,;74,;51,;11,;22,;62,;41570,223567672983336;33304306,001897517591715
