kod;nazev;statuskod;okres;pou;clenenismrozsahkod;clenenismtypkod;nutslau;datumvzniku;vusc;orp;Poc_obyv_SLDB_2021;poc_muzu;poc_zen;poc_obyv_0_14;poc_obyv_15_64;poc_obyv_nad_65;prum_vek;prum_vek_muzi;prum_vek_zeny;stav_nezjisteno;reg_partnerstvi;reg_part_zanikle;reg_part_zanikle_umrtim;rozvedeni;svobodni;ovdoveli;zenati_vdane;bez_vzdelani;vzdelani_nezjisteno;zakladni_vzdelani;stredni_vzdelani;stredni_vzd_s_maturitou;vyssi_odborne_vzd;vysokoskolske_vzd;ceska_narodnost;moravska_narodnost;slezska_narodnost;slovenska_narodnost;ukrajinska_narodnost;vietnamska_narodnost;ostatni_narodnost;bez_nabozenske_viry;cirkev_ceskoslovenska_husitska;cirkev_rimskokatolicka;ceskobratrska_cirkev_evangelick;katolicka_vira;krestanstvi;svedkove_jehovovi;vira_neuvedena;verici_hlasici_se_k_cirkvi;verici_nehlasici_se_k_cirkvi;pravoslavna_cirkev;protestantska_evangelicka_vira;ostatni_vira;celkem_domu;vlastnik_domu_byt_druzstvo;vlastnik_domu_fyz_os;vlastnik_domu_prav_osoba_jina;vlastnik_domu_kombinace;vlastnik_domu_nezjisteno;vlastnik_domu_obec_stat;spoluvlastnictvi_bytu;vystavba_pred1919;vystavba_1920_1945;vystavba_1946_1970;vystavba_1971_1980;vystavba_1981_1990;vystavba_1991_2000;vystavba_2001_2010;vystavba_2011_2015;vystavba_po2016;vystavba_nezjisteno;shape_Length;shape_Area
540471;Mohelnice;3;3809;3841;;;CZ0715540471;;124;2003;9141,;4506,;4635,;1405,;5810,;1926,;42,9;41,1;44,7;24,;7,;0,;0,;1184,;3894,;646,;3386,;42,;429,;1110,;2720,;2399,;90,;946,;5127,;1207,;4,;82,;20,;23,;97,;4867,;32,;521,;15,;144,;28,;0,;2607,;26,;770,;19,;5,;98,;1762,;0,;1512,;30,;7,;4,;21,;188,;215,;198,;203,;253,;193,;203,;230,;64,;102,;101,;56542,298368989060691;46224266,339350342750549
540480;Moravičany;2;3809;3841;;;CZ0715540480;;124;2003;1240,;619,;621,;209,;779,;252,;43,8;42,6;44,9;1,;0,;0,;0,;115,;477,;92,;555,;3,;43,;129,;403,;315,;18,;120,;703,;218,;0,;4,;6,;0,;13,;585,;8,;128,;4,;30,;9,;0,;359,;6,;106,;1,;0,;4,;462,;0,;442,;5,;0,;6,;5,;4,;57,;38,;74,;72,;42,;47,;59,;26,;17,;30,;16953,013598461046058;12150080,527949489653111
540510;Olšany;2;3809;3867;;;CZ0715540510;;124;2020;1023,;523,;500,;166,;644,;213,;43,2;41,9;44,5;1,;0,;0,;0,;91,;455,;67,;409,;59,;35,;124,;255,;271,;10,;103,;596,;173,;1,;16,;1,;0,;8,;411,;2,;182,;1,;16,;10,;1,;301,;7,;89,;0,;1,;1,;258,;0,;235,;6,;0,;4,;5,;8,;22,;46,;38,;38,;16,;17,;25,;7,;6,;43,;17678,447194745127490;6510382,529149619862437
540501;Nový Malín;2;3809;3867;;;CZ0715540501;;124;2020;3467,;1788,;1679,;687,;2250,;530,;39,6;38,3;40,9;8,;0,;0,;0,;298,;1526,;159,;1476,;20,;114,;392,;897,;820,;41,;496,;2092,;447,;1,;22,;3,;3,;46,;1853,;5,;194,;7,;54,;14,;5,;955,;16,;292,;35,;6,;30,;1076,;10,;1019,;4,;0,;6,;13,;24,;108,;100,;70,;132,;98,;82,;232,;94,;98,;62,;33254,416510089395160;27318232,660097990185022
540544;Oskava;2;3809;3867;;;CZ0715540544;;124;2020;1271,;638,;633,;164,;798,;309,;45,5;43,8;47,3;3,;2,;0,;0,;139,;509,;107,;511,;7,;54,;239,;442,;272,;14,;79,;662,;179,;1,;18,;0,;9,;20,;643,;4,;86,;2,;17,;5,;5,;396,;10,;95,;0,;2,;6,;459,;0,;421,;8,;0,;1,;9,;20,;74,;76,;50,;65,;36,;26,;35,;15,;9,;73,;45869,679532764057512;59480855,503852300345898
540595;Palonín;2;3809;3841;;;CZ0715540595;;124;2003;331,;171,;160,;54,;206,;71,;43,;39,2;47,1;0,;0,;0,;0,;31,;127,;25,;148,;4,;10,;36,;129,;67,;1,;30,;187,;73,;0,;0,;0,;0,;4,;149,;0,;25,;0,;0,;3,;0,;106,;1,;44,;1,;0,;2,;137,;0,;132,;0,;1,;2,;2,;0,;29,;12,;31,;12,;7,;11,;9,;3,;13,;10,;13480,608493940428161;5372754,060251198709011
540609;Pavlov;2;3809;3841;;;CZ0715540609;;124;2003;652,;330,;322,;122,;416,;114,;41,1;40,1;42,1;0,;0,;0,;0,;58,;260,;42,;292,;7,;26,;67,;215,;152,;5,;58,;382,;94,;0,;4,;1,;0,;8,;309,;9,;37,;1,;12,;4,;1,;182,;5,;79,;4,;1,;4,;266,;0,;262,;1,;0,;0,;1,;2,;49,;19,;25,;32,;16,;19,;24,;15,;16,;51,;33995,847534649939917;24031020,637048743665218
540650;Písařov;2;3809;3867;;;CZ0715540650;;124;2020;677,;326,;351,;131,;408,;138,;41,8;41,3;42,3;0,;0,;0,;0,;54,;282,;37,;304,;2,;35,;99,;208,;142,;10,;50,;374,;86,;0,;6,;0,;0,;4,;247,;0,;89,;4,;26,;11,;0,;233,;8,;53,;0,;4,;1,;285,;0,;273,;6,;0,;1,;3,;2,;29,;41,;27,;37,;23,;18,;16,;8,;9,;77,;23356,873020775277837;18935976,342952776700258
540684;Písečná;2;3811;3930;;;CZ0711540684;;124;2062;915,;457,;458,;123,;600,;192,;44,5;43,8;45,2;5,;0,;0,;0,;120,;351,;58,;381,;5,;50,;133,;325,;215,;15,;49,;559,;62,;21,;26,;0,;0,;23,;415,;0,;52,;4,;31,;12,;0,;291,;5,;91,;0,;0,;13,;292,;2,;269,;5,;1,;0,;6,;9,;40,;61,;18,;46,;33,;31,;23,;7,;8,;25,;17084,762932887944771;8431976,355052161961794
540731;Police;2;3809;3841;;;CZ0715540731;24. 11. 1990 0:00:00;124;2003;205,;109,;96,;29,;132,;44,;44,1;43,;45,3;0,;0,;0,;0,;27,;79,;18,;81,;0,;13,;21,;63,;58,;1,;20,;74,;29,;0,;0,;2,;0,;2,;85,;0,;12,;0,;3,;1,;0,;85,;1,;16,;0,;0,;2,;90,;0,;84,;1,;0,;1,;3,;1,;24,;5,;17,;11,;11,;7,;4,;2,;2,;7,;15077,875854939447891;5620685,723101389594376
540773;Postřelmov;2;3809;3859;;;CZ0715540773;;124;2011;2832,;1361,;1471,;439,;1722,;671,;44,5;43,5;45,4;1,;0,;1,;0,;304,;1118,;224,;1184,;10,;95,;271,;868,;798,;37,;314,;1619,;515,;5,;30,;2,;9,;33,;1298,;2,;377,;2,;63,;13,;3,;744,;15,;295,;2,;1,;17,;662,;0,;572,;6,;2,;0,;12,;70,;39,;70,;133,;123,;90,;82,;56,;14,;22,;33,;14508,968938129668459;9548339,538050200790167
540854;Rájec;2;3809;3859;;;CZ0715540854;;124;2011;489,;238,;251,;78,;309,;102,;42,3;42,6;42,1;1,;0,;0,;0,;31,;202,;33,;222,;1,;28,;70,;165,;96,;6,;45,;259,;88,;2,;8,;1,;0,;2,;167,;0,;107,;2,;8,;3,;2,;144,;1,;42,;0,;0,;13,;161,;0,;156,;1,;1,;0,;3,;0,;20,;6,;45,;25,;17,;11,;15,;4,;9,;9,;12852,310521339812112;4918375,725950411520898
540862;Rapotín;2;3809;3867;;;CZ0715540862;24. 11. 1990 0:00:00;124;2020;3046,;1524,;1522,;515,;1873,;658,;43,2;41,9;44,5;5,;2,;0,;0,;356,;1262,;204,;1217,;15,;129,;363,;962,;769,;36,;257,;1793,;353,;1,;31,;0,;0,;52,;1548,;3,;208,;10,;42,;3,;4,;908,;15,;278,;6,;4,;17,;793,;0,;730,;23,;2,;3,;26,;9,;58,;139,;79,;101,;103,;81,;108,;40,;52,;32,;18750,544173611247970;14036182,458750179037452
540871;Rohle;2;3809;3859;;;CZ0715540871;;124;2011;584,;301,;283,;102,;365,;117,;43,6;42,2;45,2;1,;0,;1,;0,;66,;240,;49,;227,;4,;31,;89,;195,;115,;8,;40,;319,;112,;1,;6,;0,;0,;8,;296,;2,;53,;0,;12,;6,;0,;163,;1,;49,;1,;0,;1,;266,;0,;256,;1,;0,;0,;3,;6,;41,;35,;43,;23,;24,;15,;16,;5,;4,;60,;24626,887131222450989;18563779,694349844008684
540919;Rovensko;2;3809;3859;;;CZ0715540919;;124;2011;770,;377,;393,;154,;470,;146,;40,9;39,9;41,8;1,;0,;0,;0,;50,;336,;61,;322,;3,;30,;66,;227,;203,;14,;73,;425,;136,;0,;0,;0,;0,;5,;297,;2,;114,;5,;9,;2,;1,;235,;9,;86,;0,;1,;9,;263,;0,;258,;1,;0,;0,;3,;1,;20,;26,;59,;34,;27,;20,;41,;10,;8,;18,;13514,936510583327617;7427073,327200395055115
540978;Ruda nad Moravou;2;3809;3867;;;CZ0715540978;;124;2020;2399,;1206,;1193,;394,;1496,;509,;43,3;42,2;44,4;1,;0,;0,;0,;214,;964,;169,;1051,;15,;78,;289,;780,;594,;23,;226,;1412,;355,;0,;14,;7,;0,;22,;1045,;5,;368,;3,;54,;9,;2,;692,;13,;192,;1,;2,;13,;947,;0,;910,;11,;0,;3,;8,;15,;107,;110,;151,;116,;91,;68,;90,;19,;18,;177,;39744,405257060985605;25004304,974198676645756
540986;Sobotín;2;3809;3867;;;CZ0715540986;1. 1. 1980 0:00:00;124;2020;1090,;539,;551,;157,;629,;304,;46,5;43,9;49,;1,;0,;0,;0,;139,;435,;121,;394,;9,;56,;165,;378,;225,;11,;89,;503,;129,;0,;15,;2,;4,;23,;478,;0,;52,;2,;17,;3,;0,;401,;12,;100,;3,;2,;20,;328,;0,;293,;11,;1,;1,;6,;16,;54,;30,;30,;67,;35,;22,;33,;5,;10,;42,;28703,306015671401838;31940190,856099408119917
541036;Stará Červená Voda;2;3811;3921;;;CZ0711541036;;124;2062;560,;289,;271,;87,;364,;109,;42,8;41,9;43,8;1,;0,;0,;0,;55,;231,;38,;235,;5,;22,;104,;195,;120,;5,;22,;352,;8,;2,;21,;1,;0,;17,;282,;0,;25,;0,;16,;0,;0,;172,;3,;50,;1,;4,;7,;234,;0,;221,;8,;0,;0,;3,;2,;48,;53,;9,;22,;20,;12,;17,;2,;3,;48,;33324,727272219824954;36649694,862251304090023
541079;Staré Město;3;3809;3832;;;CZ0715541079;;124;2020;1563,;796,;767,;224,;962,;377,;45,4;44,1;46,6;2,;0,;0,;0,;205,;669,;125,;562,;17,;125,;275,;501,;310,;7,;104,;889,;137,;0,;46,;1,;4,;20,;734,;4,;100,;3,;22,;18,;1,;511,;8,;148,;0,;1,;13,;487,;0,;396,;16,;2,;8,;26,;39,;56,;71,;57,;74,;73,;30,;18,;22,;21,;65,;51725,342472605618241;86289414,058449566364288
541109;Sudkov;2;3809;3867;;;CZ0715541109;;124;2020;1127,;566,;561,;186,;708,;233,;42,6;40,;45,1;0,;0,;0,;0,;126,;504,;83,;414,;6,;48,;138,;372,;301,;8,;68,;592,;191,;0,;15,;0,;1,;9,;550,;0,;64,;5,;15,;10,;0,;372,;6,;97,;3,;0,;4,;304,;0,;283,;1,;0,;1,;5,;14,;35,;23,;80,;35,;35,;31,;31,;2,;9,;23,;12601,212152132613483;4899327,543499635532498
541117;Supíkovice;2;3811;3930;;;CZ0711541117;;124;2062;611,;315,;296,;96,;374,;141,;44,7;43,5;46,1;1,;0,;0,;0,;72,;243,;33,;262,;2,;37,;76,;220,;124,;7,;49,;325,;38,;11,;12,;0,;0,;11,;299,;0,;43,;1,;17,;5,;1,;178,;5,;58,;1,;1,;2,;214,;3,;196,;5,;0,;0,;5,;5,;48,;62,;13,;20,;18,;15,;13,;1,;2,;22,;14459,331270624412355;9282430,483548114076257
541125;Svébohov;2;3809;3859;;;CZ0715541125;;124;2011;392,;196,;196,;57,;244,;91,;44,9;45,6;44,3;0,;0,;0,;0,;23,;154,;36,;179,;1,;15,;39,;140,;93,;4,;43,;236,;78,;0,;3,;0,;0,;1,;77,;1,;114,;6,;26,;1,;0,;123,;3,;36,;0,;2,;3,;164,;0,;157,;2,;0,;2,;1,;2,;14,;9,;32,;28,;21,;14,;9,;7,;4,;26,;12838,155733645757209;6146480,754349719733000
541249;Vápenná;2;3811;3921;;;CZ0711541249;;124;2062;1135,;590,;545,;169,;726,;240,;43,6;42,2;45,1;2,;0,;0,;0,;126,;471,;89,;447,;12,;69,;169,;396,;240,;8,;72,;655,;54,;16,;32,;0,;3,;30,;573,;1,;52,;0,;35,;12,;16,;332,;5,;102,;0,;1,;6,;358,;1,;304,;13,;2,;1,;15,;22,;52,;94,;26,;29,;38,;27,;37,;5,;6,;44,;30039,191578824622411;36804638,720050707459450
541168;Štíty;3;3809;3859;;;CZ0715541168;;124;2011;1913,;973,;940,;307,;1192,;414,;43,3;41,6;44,9;2,;0,;0,;0,;189,;826,;126,;770,;16,;89,;305,;674,;377,;21,;124,;1052,;215,;0,;22,;8,;4,;19,;676,;1,;227,;4,;72,;25,;1,;682,;13,;201,;3,;1,;7,;553,;5,;499,;14,;1,;1,;21,;12,;57,;45,;72,;106,;51,;49,;59,;8,;14,;92,;36002,646871196237043;29928260,123549293726683
541214;Uhelná;2;3811;3921;;;CZ0711541214;24. 11. 1990 0:00:00;124;2062;477,;241,;236,;90,;275,;112,;43,1;41,4;44,9;0,;0,;0,;1,;51,;222,;38,;165,;9,;16,;81,;173,;78,;1,;29,;276,;14,;11,;12,;0,;0,;37,;233,;1,;33,;0,;8,;3,;0,;139,;2,;55,;0,;2,;1,;179,;0,;166,;7,;2,;0,;3,;1,;24,;37,;13,;21,;16,;13,;17,;3,;4,;31,;33016,263675155751116;22492014,152750216424465
541222;Úsov;3;3809;3841;;;CZ0715541222;;124;2003;1087,;540,;547,;161,;725,;201,;42,4;41,;43,9;4,;2,;0,;0,;96,;445,;86,;454,;8,;51,;136,;366,;273,;11,;81,;574,;214,;0,;5,;0,;5,;16,;547,;3,;59,;1,;12,;4,;0,;350,;10,;88,;3,;2,;7,;387,;0,;365,;5,;0,;1,;9,;7,;69,;28,;55,;46,;60,;40,;37,;9,;20,;23,;19982,037106778323505;9300554,526647619903088
541265;Velké Losiny;2;3809;3867;;;CZ0715541265;;124;2020;2478,;1228,;1250,;329,;1470,;679,;46,8;45,7;47,9;4,;2,;0,;0,;260,;951,;225,;1036,;17,;115,;296,;888,;591,;28,;214,;1395,;374,;0,;19,;8,;9,;23,;1228,;2,;186,;0,;44,;5,;1,;733,;17,;239,;5,;1,;16,;789,;0,;714,;27,;2,;4,;10,;32,;113,;128,;74,;99,;107,;61,;62,;34,;41,;70,;45042,328032773584710;46499704,343299612402916
541303;Vidnava;3;3811;3921;;;CZ0711541303;;124;2062;1159,;559,;600,;176,;703,;280,;45,;42,5;47,3;0,;0,;0,;0,;165,;502,;126,;366,;27,;83,;196,;398,;195,;7,;77,;602,;35,;16,;34,;0,;8,;43,;507,;1,;45,;0,;22,;21,;4,;421,;3,;118,;6,;1,;10,;271,;7,;191,;19,;1,;0,;35,;18,;66,;47,;22,;27,;38,;27,;12,;2,;10,;20,;13342,975630681490657;4264516,521849506534636
541346;Vlčice;2;3811;3921;;;CZ0711541346;24. 11. 1990 0:00:00;124;2062;372,;187,;185,;53,;241,;78,;43,7;43,6;43,7;0,;0,;0,;0,;30,;164,;35,;143,;2,;33,;42,;121,;81,;2,;38,;190,;32,;18,;8,;4,;0,;13,;134,;1,;31,;1,;15,;2,;0,;137,;3,;42,;2,;2,;2,;171,;0,;160,;0,;1,;2,;5,;3,;38,;24,;12,;21,;20,;12,;10,;3,;3,;28,;18388,848276946395345;18648725,431550320237875
541354;Zábřeh;3;3809;3859;;;CZ0715541354;;124;2011;13479,;6460,;7019,;2092,;8187,;3200,;44,4;42,6;46,1;30,;0,;2,;0,;1681,;5509,;1129,;5128,;42,;676,;1486,;3927,;3519,;159,;1578,;7875,;1905,;6,;125,;8,;11,;176,;5968,;42,;1386,;60,;254,;60,;14,;4137,;78,;1344,;7,;20,;104,;2423,;10,;2063,;82,;5,;3,;53,;207,;183,;390,;412,;334,;292,;195,;302,;68,;114,;133,;61981,874285934245563;34600422,510699264705181
541478;Zvole;2;3809;3859;;;CZ0715541478;;124;2011;798,;390,;408,;143,;494,;161,;42,2;41,3;43,1;0,;0,;0,;0,;63,;325,;55,;355,;1,;19,;93,;240,;199,;5,;98,;482,;119,;0,;6,;0,;0,;8,;395,;10,;92,;1,;12,;3,;0,;197,;7,;74,;3,;0,;4,;277,;0,;261,;4,;0,;4,;4,;4,;27,;17,;54,;32,;39,;25,;37,;17,;8,;21,;15593,431469047380233;6565787,753599736839533
543543;Hruška;2;3709;3131;;;CZ0713543543;1. 1. 1993 0:00:00;124;1562;236,;122,;114,;51,;140,;45,;40,2;39,3;41,2;0,;0,;1,;0,;20,;108,;13,;94,;1,;19,;28,;86,;36,;4,;11,;91,;38,;0,;2,;0,;0,;2,;69,;0,;33,;0,;6,;1,;0,;99,;5,;22,;0,;0,;1,;111,;1,;106,;2,;0,;1,;1,;0,;22,;10,;22,;8,;12,;8,;9,;1,;5,;14,;13610,412078349427247;4483476,077950266189873
541575;Žulová;3;3811;3921;;;CZ0711541575;;124;2062;1101,;541,;560,;173,;660,;268,;44,1;43,3;44,9;4,;1,;0,;0,;148,;483,;86,;379,;3,;79,;173,;340,;242,;9,;82,;581,;49,;14,;25,;0,;8,;19,;532,;2,;45,;1,;22,;4,;0,;401,;7,;82,;2,;0,;2,;311,;1,;267,;7,;2,;0,;22,;12,;61,;85,;12,;44,;32,;28,;15,;3,;3,;28,;26772,430000568248943;14755776,761649388819933
544710;Vincencov;2;3709;3140;;;CZ0713544710;1. 1. 1993 0:00:00;124;1562;113,;52,;61,;14,;73,;26,;47,4;46,;48,7;0,;0,;0,;0,;10,;40,;13,;50,;0,;7,;6,;36,;26,;2,;22,;67,;15,;1,;5,;0,;0,;1,;43,;0,;23,;0,;2,;0,;0,;23,;1,;19,;0,;0,;2,;71,;0,;70,;0,;0,;1,;0,;0,;8,;7,;13,;2,;2,;1,;15,;5,;2,;16,;5982,516221426810262;1168591,369800295913592
569771;Suchonice;2;3805;3701;;;CZ0712569771;1. 1. 1992 0:00:00;124;1899;163,;78,;85,;27,;105,;31,;43,;43,5;42,6;0,;0,;0,;0,;18,;71,;14,;60,;0,;3,;20,;57,;43,;1,;12,;96,;12,;0,;0,;0,;0,;0,;64,;0,;38,;0,;5,;0,;0,;50,;1,;4,;0,;1,;0,;68,;1,;67,;0,;0,;0,;0,;0,;12,;11,;16,;3,;3,;4,;6,;4,;2,;7,;8766,776465440170796;3457216,787099489010870
545279;Domašov nad Bystřicí;2;3805;3735;;;CZ0712545279;24. 11. 1990 0:00:00;124;1911;450,;225,;225,;72,;284,;94,;41,3;40,3;42,4;1,;1,;0,;0,;49,;211,;27,;161,;4,;16,;78,;162,;87,;5,;26,;230,;62,;0,;8,;0,;0,;5,;234,;1,;12,;0,;9,;2,;1,;146,;3,;41,;0,;0,;1,;139,;0,;129,;2,;0,;0,;5,;3,;36,;36,;10,;10,;8,;11,;4,;6,;2,;16,;23895,990498513940111;15971060,069200411438942
546976;Hraničné Petrovice;2;3805;3735;;;CZ0712546976;1. 1. 1979 0:00:00;124;1911;133,;73,;60,;22,;78,;33,;45,4;42,9;48,6;0,;0,;0,;0,;15,;54,;6,;58,;0,;6,;20,;50,;20,;3,;12,;65,;16,;0,;0,;0,;0,;0,;64,;0,;11,;2,;0,;0,;0,;45,;0,;7,;0,;0,;4,;46,;0,;39,;2,;2,;0,;3,;0,;3,;9,;6,;11,;2,;3,;2,;1,;3,;6,;20012,398577146075695;12169076,648499585688114
547026;Bystrovany;2;3805;3701;;;CZ0712547026;1. 1. 1993 0:00:00;124;1899;979,;494,;485,;181,;635,;163,;41,;40,;42,;0,;0,;0,;0,;82,;403,;45,;449,;4,;41,;95,;214,;244,;17,;183,;625,;123,;0,;13,;0,;0,;13,;441,;9,;100,;1,;28,;7,;0,;272,;6,;108,;0,;3,;4,;318,;0,;308,;1,;0,;1,;4,;4,;21,;32,;26,;39,;21,;34,;101,;24,;9,;11,;9570,674207097688850;3513822,697898446116596
547077;Samotišky;2;3805;3701;;;CZ0712547077;1. 1. 1993 0:00:00;124;1899;1343,;656,;687,;248,;836,;259,;42,1;41,2;42,9;2,;2,;0,;0,;127,;554,;77,;581,;4,;37,;125,;224,;346,;16,;343,;864,;127,;1,;9,;1,;0,;34,;644,;12,;151,;1,;33,;6,;0,;337,;6,;142,;0,;1,;10,;418,;0,;397,;5,;3,;3,;4,;6,;21,;39,;62,;59,;49,;56,;84,;17,;16,;15,;7109,754424774152540;1899449,273399534868076
547018;Střeň;2;3805;3697;;;CZ0712547018;1. 1. 1993 0:00:00;124;1881;582,;309,;273,;102,;363,;117,;42,1;40,7;43,7;0,;0,;0,;0,;57,;243,;29,;253,;2,;16,;70,;190,;144,;8,;50,;348,;88,;0,;4,;0,;0,;6,;278,;2,;51,;0,;4,;1,;0,;204,;3,;34,;0,;0,;5,;184,;0,;178,;0,;0,;2,;4,;0,;12,;28,;37,;25,;15,;31,;15,;6,;6,;9,;19766,921258384463727;5811844,837701492011547
547433;Vlkoš;2;3808;3824;;;CZ0714547433;;124;1996;643,;332,;311,;92,;392,;159,;45,7;43,4;48,1;1,;0,;0,;0,;43,;246,;44,;309,;2,;22,;81,;233,;160,;5,;48,;346,;138,;0,;2,;0,;0,;3,;195,;1,;165,;0,;28,;4,;1,;171,;19,;58,;0,;0,;1,;256,;0,;239,;3,;1,;2,;9,;2,;16,;23,;52,;32,;37,;41,;21,;4,;7,;23,;17519,930880003426864;8949216,717649174854159
547093;Mutkov;2;3805;3735;;;CZ0712547093;1. 1. 1993 0:00:00;124;1911;48,;26,;22,;7,;27,;14,;45,8;45,8;45,8;0,;0,;0,;0,;8,;20,;4,;16,;0,;5,;7,;9,;11,;0,;9,;18,;14,;0,;0,;0,;0,;1,;15,;0,;1,;0,;0,;1,;1,;24,;0,;6,;0,;0,;0,;20,;0,;19,;0,;0,;0,;1,;0,;1,;1,;0,;2,;1,;3,;3,;0,;4,;5,;15891,170170679399234;5639661,308199707418680
547123;Komárov;2;3805;3735;;;CZ0712547123;1. 1. 1993 0:00:00;124;1911;257,;114,;143,;32,;117,;108,;52,8;46,9;57,5;1,;2,;0,;0,;23,;91,;65,;75,;5,;18,;41,;84,;47,;0,;30,;88,;14,;0,;0,;2,;0,;2,;65,;0,;16,;0,;7,;1,;0,;139,;7,;20,;2,;0,;0,;61,;0,;59,;1,;0,;0,;1,;0,;5,;7,;4,;7,;6,;3,;15,;6,;7,;1,;5958,656070333875505;1497099,222000112524256
547450;Výkleky;2;3808;3824;;;CZ0714547450;1. 1. 1992 0:00:00;124;1996;264,;131,;133,;41,;170,;53,;42,8;44,1;41,5;1,;0,;0,;0,;28,;120,;25,;90,;2,;4,;26,;87,;64,;4,;36,;148,;58,;1,;1,;0,;0,;1,;125,;0,;23,;1,;2,;1,;0,;83,;1,;25,;0,;3,;0,;111,;0,;106,;1,;1,;2,;0,;1,;21,;18,;11,;13,;5,;10,;9,;5,;8,;11,;9297,360705364255409;3379496,495499911718071
547514;Zábeštní Lhota;2;3808;3824;;;CZ0714547514;24. 11. 1990 0:00:00;124;1996;170,;79,;91,;23,;108,;39,;45,2;44,5;45,9;0,;0,;0,;0,;25,;60,;13,;72,;1,;1,;13,;52,;54,;2,;24,;104,;27,;0,;0,;0,;0,;1,;84,;0,;26,;0,;1,;0,;0,;47,;3,;9,;0,;0,;0,;74,;0,;74,;0,;0,;0,;0,;0,;5,;7,;13,;4,;4,;7,;16,;2,;4,;12,;6354,959657794772284;1467123,899649080587551
590193;Vrchoslavice;2;3709;3131;;;CZ0713590193;;124;1562;583,;281,;302,;108,;375,;100,;40,;39,2;40,8;0,;1,;0,;0,;44,;249,;34,;255,;2,;23,;75,;174,;142,;7,;52,;307,;136,;0,;6,;1,;0,;9,;283,;0,;64,;1,;11,;1,;0,;137,;5,;79,;0,;0,;2,;206,;0,;190,;2,;0,;0,;8,;6,;26,;21,;44,;16,;31,;10,;20,;10,;8,;20,;9084,120337414075038;3356768,823948908597231
552429;Svésedlice;2;3805;3701;;;CZ0712552429;24. 11. 1990 0:00:00;124;1899;225,;119,;106,;42,;153,;30,;39,6;39,3;39,9;1,;2,;0,;0,;25,;91,;14,;92,;0,;8,;22,;71,;49,;4,;29,;95,;47,;0,;1,;1,;0,;3,;89,;3,;22,;1,;1,;1,;0,;81,;1,;19,;0,;0,;7,;81,;0,;77,;0,;1,;2,;1,;0,;15,;8,;15,;8,;6,;2,;8,;4,;11,;4,;9696,200969946505211;3027808,840899277012795
590207;Vřesovice;2;3709;3140;;;CZ0713590207;;124;1562;540,;263,;277,;101,;345,;94,;40,;40,9;39,3;0,;0,;0,;0,;56,;236,;34,;214,;1,;19,;64,;170,;128,;4,;53,;301,;98,;3,;3,;0,;0,;13,;177,;0,;140,;0,;10,;10,;1,;133,;5,;62,;0,;0,;2,;211,;0,;203,;2,;1,;1,;4,;0,;13,;23,;46,;21,;11,;20,;21,;25,;12,;19,;12560,171318049664478;6193510,511998566798866
590215;Výšovice;2;3709;3140;;;CZ0713590215;;124;1562;503,;249,;254,;87,;328,;88,;40,8;39,8;41,8;0,;0,;0,;0,;59,;223,;24,;197,;0,;14,;67,;154,;127,;6,;48,;295,;67,;1,;5,;2,;0,;4,;232,;1,;74,;1,;4,;0,;0,;145,;1,;39,;0,;0,;6,;181,;0,;169,;6,;0,;2,;2,;2,;13,;16,;52,;22,;14,;17,;17,;7,;14,;9,;13558,995304515487078;5928131,490250947885215
549967;Hačky;2;3709;3123;;;CZ0713549967;24. 11. 1990 0:00:00;124;1554;111,;57,;54,;17,;69,;25,;46,;41,5;50,7;0,;0,;0,;0,;13,;41,;11,;46,;0,;1,;13,;44,;30,;0,;6,;44,;25,;0,;1,;0,;0,;2,;24,;0,;23,;0,;3,;3,;0,;43,;1,;14,;0,;0,;0,;54,;0,;53,;0,;0,;0,;1,;0,;6,;6,;9,;6,;4,;4,;2,;1,;2,;14,;8303,203587552254248;2683879,613600155338645
549983;Polomí;2;3709;3123;;;CZ0713549983;24. 11. 1990 0:00:00;124;1554;138,;69,;69,;23,;83,;32,;44,3;39,8;48,8;0,;0,;0,;0,;6,;49,;14,;69,;0,;2,;16,;57,;29,;2,;9,;66,;45,;0,;0,;0,;0,;3,;31,;0,;42,;0,;1,;0,;0,;47,;1,;12,;3,;0,;1,;65,;0,;64,;0,;0,;0,;1,;0,;5,;5,;18,;6,;9,;3,;3,;1,;2,;13,;9823,915030807040239;2897481,814149591140449
552755;Věžky;2;3808;3824;;;CZ0714552755;24. 11. 1990 0:00:00;124;1996;202,;104,;98,;27,;130,;45,;45,8;43,6;48,1;0,;0,;0,;0,;15,;84,;18,;85,;1,;6,;16,;81,;58,;1,;12,;113,;19,;0,;0,;0,;0,;0,;56,;0,;23,;0,;4,;4,;2,;88,;3,;22,;0,;0,;0,;82,;0,;80,;0,;0,;0,;2,;0,;7,;10,;18,;7,;3,;14,;8,;5,;2,;8,;10567,603861967130797;2404364,944900140166283
552771;Čechy;2;3808;3824;;;CZ0714552771;24. 11. 1990 0:00:00;124;1996;286,;142,;144,;40,;179,;67,;46,3;43,9;48,7;0,;0,;0,;0,;22,;104,;32,;128,;0,;18,;31,;85,;72,;4,;36,;171,;50,;0,;3,;0,;0,;2,;110,;2,;53,;0,;6,;5,;0,;80,;1,;29,;0,;0,;0,;129,;0,;125,;1,;0,;0,;1,;2,;18,;16,;36,;10,;13,;6,;12,;3,;2,;13,;12069,578328930334465;4550955,402850543148816
